Text,positive,negative,Lab,Label,Sentiment,Pred
"Ty veríš že je to ozaj? Vopred dohodnuté, dám ruku do ohňa že mám pravdu 🙂",0.5155,0.4845,3.0,Neutral,0.0,Negative
Do prace lebo to mam blizko 🙂,0.5,0.5,1.0,Neutral,0.0,Negative
"Dnes je Mezinárodní den hot dogů, ale vy už víte, že u nás oslavujeme tento svátek každou středu! Proto i dnes najdete na našich čerpacích stanicích Double hot dog za akční cenu! Oslavte tento krásný den, jak se patří – hot dogem! 🌭",0.8135,0.1865,3.0,Positive,0.0,Negative
"Aj tak je to stale super lacne za kvalitu, kt.poskytuju 🤗",0.53,0.47,3.0,Neutral,0.0,Positive
Peter Kozmon 🙋‍♀️😝mňa analfabed 🤕 Za ľudí a za Slušné Slovensko nemôže uraziť 🖕,0.4947,0.5053,2.0,Neutral,0.917,Negative
Janka Kohanova ved Turzovka nie 😘,0.5518,0.4482,3.0,Positive,0.702,Neutral
"Už aj Erik Tomáš si osvojil slovíčko ""znepokojený""?To teraz letí😀",0.4839,0.5161,2.0,Neutral,0.572,Positive
Wikys Matej hele abych pravdu rek tak se mi osobne vic libi ta QLED ...😕,0.48,0.52,2.0,Neutral,-0.4,Negative
Mamka... Tá je hrdinka všetkého nie len Vianoc 🍀 🍀 🍀,0.4544,0.5456,2.0,Neutral,0.8639999999999999,Negative
A 🤩🤩🤩♥️🎁♥️🎁 - like a súťažím a like stránku Lidl Slovensko,0.4537,0.5463,2.0,Neutral,1.534,Positive
Len 📱 lebo samsung pay pre Galaxy ⌚ nepodporujete,0.4654,0.5346,2.0,Neutral,0.562,Negative
"A 🔝🎁💙🍾 - like a súťažím parádna výhra a like stránce ,, Lidl Slovensko",0.5256,0.4744,3.0,Neutral,1.978,Positive
Alebo Matovič s Lipšicom ...☺😅☺,0.5101,0.4899,3.0,Neutral,0.18,Positive
�� držím učiteľom fakera !  😜,0.6684,0.3316,3.0,Positive,0.456,Neutral
Zjavne sa Lidl Slovensko páči viac klišé 😁,0.7121,0.2879,3.0,Positive,0.45,Negative
"Najprv niekde, kde by ma nikto nevidel prvy krat si rozbit hubu na 🛴 😉",0.6043,0.3957,3.0,Positive,0.464,Negative
"Nemáte poňatia, čo dnes variť? 😬 Nestrácajte nádej! 💪😁 Inšpirujte sa naším týždenným menu s vajíčkami a jarnou zeleninou a situácia je zachránená. 😉    \n👉 bit.ly/týždenný-jedálniček 👈",0.5,0.5,1.0,Neutral,2.491,Positive
"Vôbec neni dôležite, ako to bolo,... to si snáď robíte srandu😀",0.1206,0.8794,2.0,Negative,0.572,Positive
Martinka Mičudová určite by sme si to užili 😉🍀🙊 ,0.4965,0.5035,2.0,Neutral,1.213,Positive
V júni sa chystáme na koncert kabát takze by sa to našej rockerke hodilo! 😁👌,0.4908,0.5092,3.0,Neutral,1.014,Positive
"Tak čo, páni, postavíte svojej drahej pred domom cez noc máj? 🎀💝 Ak sa vám nechce stavať májik, možno si ju získate našou májkou: http://bit.ly/majkavtesco 😋😆",0.1257,0.8743,2.0,Negative,2.348,Positive
Kazdodenna priprava 👣👟 prechadzky s nasimi twinskami 💞🍀,0.4691,0.5309,2.0,Neutral,1.836,Negative
Aj vy idete mať chlapčeka?  😇,0.4621,0.5379,2.0,Neutral,0.6,Negative
Pre synov b - auticko na do.👍,0.5438,0.4562,3.0,Neutral,0.522,Positive
Prieskum.nam praje Igor má 19% Fico 15%😂🙉,0.5575,0.4425,3.0,Positive,0.561,Negative
Zdieľam B pre mojich troch chlapov 😘,0.4317,0.5683,2.0,Negative,0.702,Positive
Len skoda že pani nema vlastne napady🤦🏼‍♀️,0.5687,0.4313,3.0,Positive,0.0,Negative
Génius strieda geniusa 😛 nevídané...,0.6665,0.3335,3.0,Positive,0.609,Negative
"Mne sa to paci , preco aj nie. 🙂",0.7814,0.2186,3.0,Positive,0.0,Negative
zvyseny pocet zo zahranicia? ako to? 🙄,0.4644,0.5356,2.0,Neutral,0.0,Negative
Kofola \nVlnky keksíky 💓💜💗,0.4913,0.5087,3.0,Neutral,1.987,Positive
"Priatelia,doprajte si viac☺️Budúci týždeň bude XXL😍Prelistujte si náš nový online leták👉https://goo.gl/6AAJPc",0.5211,0.4789,3.0,Neutral,1.072,Positive
Včera sme stavali 😉 malý ale skromný...,0.5166,0.4834,3.0,Neutral,0.464,Positive
Len aby z nich nebol uragan jak ten co davali na STV1 s Marcinom 🙈,0.4503,0.5497,2.0,Neutral,0.433,Negative
Z Bratislavy do terchovej😉😅,0.3483,0.6517,2.0,Negative,0.644,Neutral
Vozila by som sa do roboty miesto auta 😉,0.2848,0.7152,2.0,Negative,0.464,Positive
Tak tu kávu som u nás kupila 200 g akcia 20 dní😊😊😊🍀🍀,0.3872,0.6128,2.0,Negative,2.5109999999999997,Positive
"Zdieľam, súťažím o balíček k MDD pre syna Miška 🍀👍",0.5213,0.4787,3.0,Neutral,0.81,Positive
"Mne vysla mrkva a jablko, no bohuzial som na to alergicka, takze nic 😔",0.4945,0.5055,2.0,Neutral,-0.146,Negative
"BALÍČEK B, veľkosť S pre môjho prvorodeného syna ktorý by mal radosť 🐖🍀",0.3237,0.6763,2.0,Negative,0.46399999999999997,Positive
"Aj ja ""chcem vyhrať"", aspoň raz nezhorím 😁😁😁.",0.5033,0.4967,3.0,Neutral,1.35,Positive
A to je samosebou že v hrubom 😭,0.4561,0.5439,2.0,Neutral,-0.093,Negative
Moje rozsypacie potrebujú vymeniť 🙏🏻😁,0.5481,0.4519,3.0,Neutral,0.868,Negative
"Bol som na staromaku a videl som len jeden trh, nie trhy pan novinar 😄😄",0.451,0.5489999999999999,2.0,Neutral,0.844,Positive
B - 🔝🎁💙🍾 - like a súťažím parádna výhra a like stránce -- Lidl Slovensko,0.5256,0.4744,3.0,Neutral,1.978,Positive
"Hotovo, poslane, mail došiel. Odohral to syn 😀",0.4219,0.5781,2.0,Negative,0.572,Positive
Boze ty si akaa inteligentna 😑,0.3597,0.6403,2.0,Negative,-0.314,Neutral
"Vianoce sú pre všetkých,Lidl tiež.🌲🌲",0.4544,0.5456,2.0,Neutral,0.87,Positive
"Boja sa, lebo nebudú môcť zdrhnúť keď ich budú lokalizovať  😂😂😂",0.4565,0.5435,2.0,Neutral,0.663,Negative
To sa este nevie kedze este neni riadne ani  v predaji. Po case sa ukaze.😊,0.6115,0.3885,3.0,Positive,0.645,Negative
aj vy tam idete nie mojka?🤣🤣,0.4621,0.5379,2.0,Neutral,0.0,Negative
v Senci je iba etiketa na regale ale uz 3 den ani jeden jogurt😕,0.4523,0.5477,2.0,Neutral,-0.4,Negative
Tofu granadír s kyslou uhorkou 🍴,0.4351,0.5649,2.0,Negative,0.554,Positive
Prajem si hlavne zdravie pre moje detičky...💙💚,0.4507,0.5493,2.0,Neutral,1.391,Positive
Emily Roberts - SantaClara ináč super reklama 💣,0.5099,0.4901,3.0,Neutral,0.008,Positive
Požičal mu biskup Zvolenský.😴😴,0.5702,0.4298,3.0,Positive,-0.162,Negative
Taky som mala aj ja ale to nieje retro 😀,0.5384,0.4616,3.0,Neutral,0.572,Positive
Prehrame. (ale strasne sa chcem mylit🙏🙏🙏🙏),0.4226,0.5774,2.0,Negative,1.254,Neutral
Romanka Hladíková Langerová presne tak! 😪,0.5406,0.4594,3.0,Neutral,-0.081,Negative
"Toto sú ľudia, ktorí sú pre mňa a môj tím najväčšou odmenou v kampani - naši dobrovoľníci. Od mája so mnou brázdia bratislavské sídliská, susedské pikniky, hody aj ďalšie akcie. Veľmi ma ženie dopredu fakt, že mi veria a sú so mnou. Ďakujem vám! Máme pred sebou posledné 4 týždne 🙂",0.1472,0.8528,2.0,Negative,0.0,Positive
"Vozila by som sa na nej do práce, keďže tie bratislavské zápchy sú hrozné 😉",0.3565,0.6435,2.0,Negative,0.464,Positive
U nás už nemusíte len snívať 😌,0.4612,0.5388,2.0,Neutral,0.484,Negative
"Sampon,kondicioner,tuzidlo a kulmofen 🙂",0.3797,0.6203,2.0,Negative,0.0,Neutral
Sebareflexia ako v Smere 🤦‍♂️,0.4665,0.5335,2.0,Neutral,0.0,Negative
Pre moju dcérku Rebeku 🍀❤️,0.4089,0.5911,2.0,Negative,0.288,Positive
Ja spisske nekupujem 😀 ale dik za info,0.4759,0.5241,2.0,Neutral,0.572,Positive
Mám z neho koprivku!!! Už ho nemôžem vystáť! 😠,0.4622,0.5378,2.0,Neutral,-0.302,Negative
Keby ulica v 89-tom nerozhodla..tak Bugar neexistuje 😀a netrieskal by bludy 😀,0.3384,0.6616,2.0,Negative,1.144,Positive
"Anička Anik Samáková nevadí, ideme😁😁😁",0.4618,0.5382,2.0,Neutral,1.35,Negative
V prvom rade by si mal odstupit 😄,0.4529,0.5471,2.0,Neutral,0.422,Positive
Mentálny atlét to nebude 😞,0.5187,0.4813,3.0,Neutral,-0.118,Negative
"Rozkošné srdiečko pre vás a retro motorka pre vašu drahú polovičku. 👕💖🏍 U nás si príde každý na svoje! 😄\n\n➡️ HIT! PÁNSKE TRIČKO, s potlačou, v bielej, blankytne modrej alebo tmavo modrej farbe, rôzne vzory, M – XXL – 2,49 €\n\n➡️ HIT! TRIČKO PRE DÁMY, s potlačou, rôzne vzory a farby, S – XXL – 2,49 €\n\nVyššie uvedené produkty sú z aktuálnej ponuky, ktorá je dostupná do vyčerpania zásob.",0.0638,0.9362,2.0,Negative,1.635,Positive
"Fen, obcas zehlicku, obcas kudrlinkator. Podla nalady 😉",0.3879,0.6121,2.0,Negative,0.464,Positive
Jasné že vyhráme 🥰🥰🥰🥰🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀,0.5752,0.4248,3.0,Positive,0.8639999999999999,Neutral
Nejde skôr o emisie ako spotrebu? 😀 každý  gram dobrý pre automobilky,0.5404,0.4596,3.0,Neutral,0.572,Positive
On je už top Kokot 😂😂😂😂😂😂😂😂😂,0.6018,0.3982,3.0,Positive,0.663,Negative
Po umytí vždy používam fén a žehličku 😉,0.5301,0.4699,3.0,Neutral,0.464,Negative
"Mária Dulinová to záleží od toho, ako rýchlo budú konať Taliani.😂",0.4691,0.5309,2.0,Neutral,0.221,Negative
SUPER MIKULAS!!! 10gb=450€ 😬😬😬,0.7666,0.2334,3.0,Positive,0.5880000000000001,Negative
Kika Kaja maj fejvrit tiičr😂,0.3888,0.6112,2.0,Negative,0.221,Positive
Hodně úspěchů přejeme a taky zdravíčka 👍.,0.3825,0.6175,2.0,Negative,0.522,Positive
Cesta z dovolenky domov :) 🌴🌴🌴,0.6395,0.3605,3.0,Positive,1.602,Neutral
Noo to ak ste potrebovali omalovat mate dovod😆😆,0.6161,0.3839,3.0,Positive,0.824,Negative
"Ako sa povie po maďarsky ""hnedý""? 😊",0.7841,0.2159,3.0,Positive,0.645,Negative
"👍 Najprv jedno,potom druhé.Na farbe nezáleží😁.",0.4164,0.5836,2.0,Negative,0.972,Positive
Bez rodiny ale dokážem si ich predstaviť bez nakupovania 🙂 !!,0.7040000000000001,0.29600000000000004,3.0,Positive,0.0,Negative
Vyjebaná vychcaná SMERacká zlodejina😑,0.4757,0.5243,2.0,Neutral,-0.314,Negative
Dobre ráno 😄😄😄😄😄😄😄😄❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.5118,0.4882,3.0,Neutral,1.266,Positive
Tak to bude väčšie divadlo ako na Slovensku....😀😀,0.4796,0.5204,2.0,Neutral,1.144,Positive
Je to desivá správa v každom prípade 😔,0.5254,0.4746,3.0,Neutral,-0.146,Negative
"Az po vas😃😃nemate na Danka ,nesiahate mu ani po clenky.😉",0.4428,0.5572,2.0,Negative,1.58,Positive
A cuduj sa svete aj na malte sa to stalo 🙂,0.5063,0.4937,3.0,Neutral,0.0,Negative
"po nocnej smene navstivim  kostolik, a tak varenie a spanok💝💝",0.4063,0.5937,2.0,Negative,1.322,Positive
Keby radsej dali film ako si zvolit spravny Smer 😀,0.6217,0.3783,3.0,Positive,0.572,Negative
Pravidelne objednávam zo Sladučkého ovocia 🍎🍓🥔🥕🥦🥬🥒🌶,0.6261,0.3739,3.0,Positive,1.031,Negative
Tomáš Ľavák Ano!Len je tazko hlupakom ako Ty odpovedat!😦,0.5372,0.4628,3.0,Neutral,-0.389,Negative
Margita: 🙂 hlupák ma neurazí 🙂,0.5,0.5,1.0,Neutral,0.0,Negative
Kadeti Slovana si po poslednom zápase nadstavbovej časti o Majstra v Martine prevzali pohár za celkové prvenstvo v súťaži #VerniSlovanu 🥇🏆,0.4848,0.5152,2.0,Neutral,0.737,Negative
prva cesta by testovala nasu ulicu 😊,0.5143,0.4857,3.0,Neutral,0.645,Positive
"Priamy prenos, ako sa z ustavy stava hajzelpapier. \nHnus...😝",0.4902,0.5098,2.0,Neutral,0.425,Negative
Marika Pusinka Englartová presneee... 😁,0.3812,0.6188,2.0,Negative,0.45,Neutral
Skús miesto toho krému tvaroh a veľa pažítky..😁,0.5308,0.4692,3.0,Neutral,0.45,Negative
Náš stromček a hodiny by potešili\nVeselé Vianoce 🌲🌲🌲,0.4735,0.5265,2.0,Neutral,1.305,Positive
Prvá jazda by odhalila či by som stíhala môjho psíka 🙂,0.4826,0.5174,2.0,Neutral,0.0,Positive
"14 mesiacov,plienky číslo 4.A z produktov oblečenie ❤🍀🍀🍀",0.3108,0.6892,2.0,Negative,0.8639999999999999,Positive
Anka Luková jasne jasne 🍾🍾🍾🍾😁😁😁😁😁🤡🤡🤡,0.4499,0.5501,2.0,Negative,1.35,Neutral
Slovenske vlajky\nalebo nejako pekne pojate suveniry so slovenskou tematikou 🙂,0.3056,0.6944,2.0,Negative,0.0,Neutral
"Ono tie peniaze sú , len vo vedení ale 😀",0.3858,0.6142,2.0,Negative,0.572,Neutral
Silvester budem tráviť doma 😉,0.4596,0.5404,2.0,Neutral,0.464,Positive
Náš tohtoročný Sporka stage na Pohoda in the Air bude medzi oblakmi. ☁️ Diskusia a DJ-set v balóne?🎈Tak to je fakt uletené! Sleduj celý line-up tu bit.ly/slsp-pohoda 💙,0.5013,0.4987,3.0,Neutral,1.458,Positive
toto su spravne otazky....😪,0.4575,0.5425,2.0,Neutral,-0.081,Negative
"Pre naše dievčatko Olíviu, ktorá 23.7. oslavuje 4 mesiačiky 👨‍👩‍👧🍼🎂",0.5402,0.4598,3.0,Neutral,2.042,Positive
Snáď budem mať šťastie 🍀 ☺,0.5049,0.4951,3.0,Neutral,0.288,Positive
"6 mesiacov, veľkosť 4 najobľúbenejší produkt vlhčené obrúsky 😉",0.5363,0.4637,3.0,Neutral,0.464,Positive
V kruhu rodiny a priateľov ako každoročne :) 🍷🍥,0.9197,0.0803,3.0,Positive,-0.254,Negative
A kto bude strážiť náklad v kamiónoch? 😟,0.4874,0.5126,2.0,Neutral,0.075,Negative
No urcite manzel a co skoro aj dcetka 😉,0.5693,0.4307,3.0,Positive,0.464,Neutral
Vrátiť na chvíľu čas a užiť si jeden deň keď bola dcéra malá....😍,0.1315,0.8685,2.0,Negative,0.678,Positive
"S deťmi kdekoľvek, napr. do zoo 🐒🐎🐃🐨🐻🐼",0.4901,0.5099,2.0,Neutral,2.225,Negative
Pseudonovinári s penty sa sťažujú !!👍😢,0.5542,0.4458,3.0,Positive,0.529,Negative
Najviac si užívame výlet do ZOO kamkoľvek a kedykoľvek 💓,0.5373,0.4627,3.0,Neutral,0.672,Positive
Matusko Matúš Pitoňák nedavam...to je velice zlahka 😉,0.5601,0.4399,3.0,Positive,0.464,Neutral
Now that's real game changer!! 🌱💕🌸,0.4697,0.5303,2.0,Neutral,1.9250000000000003,Positive
��🌞 u nás v Prievidzi je po daždi a slnečno,0.4908,0.5092,2.0,Neutral,0.568,Negative
Oliva sa nachádza pod strednou miskou. Od 31.1.začína pyrenejský týždeň 👍,0.4826,0.5174,2.0,Neutral,0.522,Positive
Balíček C velkost L pre môjho braska a autíčko pre Synovceka Miška 💓💓,0.3427,0.6573,2.0,Negative,1.344,Positive
��💗💗 ZDIEĽAM C veľ. M 💫💗💗💗,0.3827,0.6173,2.0,Negative,3.8069999999999995,Positive
"6 mesiacov, velkost 3 naj si plienky a oblecko 🙂",0.5329,0.4671,3.0,Neutral,0.0,Positive
"Marek Barna ti verim, pre teba musi byt kokot kazdy 😉 len ty si prakokot",0.53,0.47,3.0,Neutral,0.464,Negative
A zápas s Viťazom doma ešte 💙,0.3566,0.6434,2.0,Negative,0.732,Positive
Nominujem MŠ Špitálska v Bratislave 🤞,0.4955,0.5045,2.0,Neutral,0.0,Negative
Chvíľočka Zamečáteľnaja  Nuz co Vam k tomu povedat. Snad iba dobru noc 🙄,0.5416,0.4584,3.0,Neutral,0.0,Negative
...to hovoril Fico o sebe? Lebo to by sedelo! 💩💩💩,0.479,0.521,2.0,Neutral,-0.354,Negative
Pre nášho Filipka na rôzne cestovania kam nás auto zavedie 🙂,0.4821,0.5179,2.0,Neutral,0.0,Negative
Najradšej mame ovko lesnu zmes 😉,0.3479,0.6521,2.0,Negative,0.464,Positive
Tibor Molnár že nepozná ....môjtyboh 😅,0.5,0.5,1.0,Neutral,0.18,Negative
tak urcite by novinari dostali priestor na tlacovke Smeru 🤔😃,0.5295,0.4705,3.0,Neutral,0.558,Positive
"Č. 3 a všetky výrobky sú fajn,ale napr. vlhčené utierky 🍀🙂",0.1213,0.8787,2.0,Negative,0.288,Positive
prva jazda by bola na parkovisku pred lidlom..slavnostna jazda 😉,0.5156,0.4844,3.0,Neutral,0.464,Negative
"Waltraud Wagnerova 1,kokot je tvoj rabín. 2,kokot je tvoj rabín 3, 🤣🤣🤣🤣🖕",0.5,0.5,1.0,Neutral,0.0,Negative
Bez najbližších a bez vaječného koňaku 😃,0.3934,0.6066,2.0,Negative,0.558,Positive
"Aj my doma, deti si zapália prskavky keď sa zotmie, aby sa im to rátalo 🎉",0.4626,0.5374,2.0,Neutral,0.74,Positive
Pravdepodobne na silvestrovskej zábave 😄,0.3881,0.6119,2.0,Negative,0.422,Positive
Náš vnucik ma rad všetky 🍀👍🛴,0.6685,0.3315,3.0,Positive,0.81,Negative
Vsetky druhy ovocia!!! 🍎🍐🍊🍋🍌🍉🍇🍓🍈🍒🍑🥭🍍🥥🥝🍏,0.5235,0.4765,3.0,Neutral,4.019,Positive
"Jan Marusak a čo Lipšic , ten mal sňou iný vzťah 👿",0.5299,0.4701,3.0,Neutral,-0.557,Negative
Lego námorná zostáva pre Dominika😆,0.5634,0.4366,3.0,Positive,0.412,Negative
Tento balíček by som venovala kamaratke Betke a jej krásnej dcérke  menom Zoe 🍼,0.4836,0.5164,2.0,Neutral,0.625,Positive
Pavol Košarko Korda ma rad🍹🍺🥂preto bluzni.,0.504,0.496,3.0,Neutral,1.179,Negative
"💃 Národní divadlo Praha otvorí 28. ročník podujatia Divadelná Nitra hviezdnou inscenáciou Sternenhoch, ovenčenou cenami českej kritiky. Predlohou je romaneto Utrpenie kniežaťa Sternenhocha českého filozofa a spisovateľa Ladislava Klímu, súputnika Franza Kafku.\n\nPodujatie Divadelná Nitra začína už zajtra!\nVSTUPENKY nájdete tu: http://bit.ly/Sternenhoch",0.4722,0.5278,2.0,Neutral,0.736,Negative
Slniečka sa už hnevajú 😁😀😄,0.5235,0.4765,3.0,Neutral,1.444,Positive
Pozrieť kedy otvoria nový Lidl 😉,0.6109,0.3891,3.0,Positive,0.464,Negative
Lubomir Rybar  konspiracia s kvapkou filizofie amen 🙏🤣,0.4547,0.5453,2.0,Neutral,0.418,Negative
"Materska škola Moravany,č.319,07203. 👌🙏🏽🙏🏽🙏🏽🙏🏽",0.3475,0.6525,2.0,Negative,2.2359999999999998,Positive
Velkost 5 a najoblubenejsi produkt?plienky aaaaa momentalne nanuky 😂,0.4902,0.5098,3.0,Neutral,0.221,Negative
To bude asi nejaký omyl... 😃,0.5511,0.4489,3.0,Positive,0.558,Negative
"Ja by som ju venovala svojej vnucke Vivien, lebo zajtra má narodeniny 🎉",0.5094,0.4906,3.0,Neutral,0.74,Positive
Barney Bryan Kovacs presne tak a nech so sebov beru aj Andrea a Zuzu....😉😉😉,0.5876,0.4124,3.0,Positive,1.3920000000000001,Neutral
Baliček D pre mladšieho syna 😊,0.5398,0.4602,3.0,Neutral,0.645,Positive
Zbirka a kochansky- kazdy den budu vraj vianoce a last chtistmas od wham 😎,0.3938,0.6062,2.0,Negative,0.493,Positive
"Vyhráme, my na to máme -   naši hokejisti na to majú😄😄😄",0.5425,0.4575,3.0,Neutral,1.266,Positive
Pepco se oplati 😂 leginy ma miru 🤦‍♂️😂,0.5606,0.4394,3.0,Positive,0.442,Negative
Jak na dlouho ovládl ? V říjnu je to iPhone 8 😀Tak ať si užívá výsluní 😀,0.4563,0.5437,2.0,Neutral,1.144,Positive
"farmoods, med od vcelara, vajicka od dedka 😉",0.519,0.48100000000000004,3.0,Neutral,0.464,Positive
P.Danko ešte si to užiťe .lebo 29.2 idete za Vašim kolegom p.Slotom...😁😁😁😁😍,0.5625,0.4375,3.0,Positive,2.028,Negative
"Pečivo, zelenina 😋🥐🥦🥑🍓🍒🍏🍉🍋🍌🍍",0.3277,0.6723,2.0,Negative,3.556,Positive
"Obžerstvo, darčeky, domáca. 😂🐟🎁🍸😂",0.4676,0.5324,2.0,Neutral,2.484,Negative
"Krásne slnečno ☀, tak jesenno 🍁🍂 :) ale chladno, fúka 💨 studený vietor",0.7781,0.2219,3.0,Positive,1.4380000000000002,Negative
Duško Jogurtik duško daj si jogurt a chod spat radsej 🤦‍♀️,0.51,0.49,3.0,Neutral,0.0,Negative
"Je to Kamenolom, ale nevadí😁",0.4838,0.5162,2.0,Neutral,0.45,Negative
Tak a je tu náš posledný zápas na šampionáte. Rozlúčme sa s Nemeckom dôstojným výkonom. 👍👍👍,0.4653,0.5347,2.0,Neutral,1.566,Positive
smutne ze nakupujeme stale v lidli a žreby veru nevidime 🙈🙈🙈🙈,0.632,0.368,3.0,Positive,1.299,Negative
Stefan Macejak v dopravnej zapche? 😁,0.4555,0.5445,2.0,Neutral,0.45,Negative
C veľkosť M\n\n🌼💙🌼💙🌼💙🌼💙🌼💙🌼,0.4309,0.5691,2.0,Negative,8.526000000000002,Positive
"Hlavne tá Ázijská vinea, Milka a Tatranské maslo.. 😉",0.5135,0.4865,3.0,Neutral,0.464,Negative
Pome Slovan dnes to daju💪💪💪,0.3833,0.6167,2.0,Negative,1.6680000000000001,Positive
uz vypadni a ber so sebou aj tu odpornu Beatrice🤢,0.4551,0.5449,2.0,Neutral,0.0,Negative
S dcerou a priatelom domka 😇,0.3876,0.6124,2.0,Negative,0.6,Positive
"Moje krasne ⌚️so ❤️, lebo na lasku je stale vhodny cas...",0.6997,0.3003,3.0,Positive,0.235,Negative
Samozrejme mensi je lepsi a moc ma to potesilo 🤗,0.5251,0.4749,3.0,Neutral,0.0,Negative
P.Hrib vyborne👏👏👏. slubili sme si... v r. 1989 a  dokoncime v r. 2019,0.5479999999999999,0.452,3.0,Neutral,1.5630000000000002,Positive
"Alebo vedel, ze pojdu s Ficom 😉",0.3372,0.6628,2.0,Negative,0.464,Neutral
v strede a zacina Pyrenejsky tyzden :-) 🍀🍀🍀,0.5656,0.4344,3.0,Positive,0.8639999999999999,Negative
Ešte fut je tá ruka vo vačku??? 🙈neveríííím,0.4968,0.5032,2.0,Neutral,0.433,Negative
Ján Venger neprasknite🤣🤣🙏🏻,0.5916,0.4084,3.0,Positive,0.418,Neutral
"Najradšej kamkoľvek, kde môžu deti voľne behať bez aút a cyklistov 🙂",0.4947,0.5053,2.0,Neutral,0.0,Positive
Šatan uz teraz ho chce na olympiske hry...uz zalezi len na Rewayovi..😉,0.5175,0.4825,3.0,Neutral,0.464,Negative
Vianoce su pre vsetkych.Lidl tiez 😀,0.5416,0.4584,3.0,Neutral,0.572,Positive
"Peter Ferenc   ty zas z ktorej riti vyliezol, ty hlísta zelená ? 😂😂😂",0.4579,0.5421,2.0,Neutral,0.663,Negative
Lazane s bazalkovým tofu😋👌👌,0.5203,0.4797,3.0,Neutral,1.762,Positive
"Šuran mrzi, nemrzi.. akurat im to neverim 😛",0.3859,0.6141,2.0,Negative,0.609,Neutral
"Iva Tozzio, Vanessa Nessa Vanni, Adrian Petko, Renáta Peťková 👋🏻",0.5448,0.4552,3.0,Neutral,0.416,Positive
Patrik DM Marek Krajčí 🌹🌹✝️👏✝️,0.7336,0.2664,3.0,Positive,-0.259,Negative
"Vsetky. 🙂 nikdy neviem odist tak, aby som nieco nekupila. 😀",0.3105,0.6895,2.0,Negative,0.572,Positive
Fén a občas žehličku ☘️☘️☘️,0.3247,0.6753,2.0,Negative,0.0,Positive
"Bryndza ,korbaciky,strudle,vajcia,zelenina 😊",0.5176,0.4824,3.0,Neutral,0.645,Positive
My ideme akurát páliť sviečky na hroby a je čas 13.17h.😀,0.3797,0.6203,2.0,Negative,0.572,Positive
Ja som napríklad vegán a tiež to nemusím každému hovoriť 😉,0.4774,0.5226,2.0,Neutral,0.464,Positive
Leszek Muler\nŽe vy rád chodíte na kebab? 😏,0.5042,0.4958,3.0,Neutral,0.332,Positive
Na výlet kamkoľvek na zmrzku 😋,0.5,0.5,1.0,Neutral,0.634,Positive
Festivalovu modu a dobru hudbu 🙂,0.5435,0.4565,3.0,Neutral,0.0,Positive
pozriet rodinu do Trieste 🙂,0.723,0.27699999999999997,3.0,Positive,0.0,Negative
"Odmietol si preto, lebo si nevedel vydokladovať majetok👅🎪",0.4566,0.5434,2.0,Neutral,0.801,Negative
"Skončí to remízou, v nájazdoch vyhráme ✊✊✊🍀🍀🍀",0.4168,0.5832,2.0,Negative,2.163,Positive
"Jeeej taliansky týždeň. Super, musíme doplniť zásoby.  😘",0.5248,0.4752,3.0,Neutral,0.702,Positive
"Mňam, dala by som si takú tortu 😜",0.4399,0.5601,2.0,Negative,0.456,Positive
"Stefan Segal Smolar ale nie tvoje,tak nechápem ze ta to trápi 😳",0.5074,0.4926,3.0,Neutral,0.018,Negative
"Nikdy by mi nenapadlo, že na stránke Lidlu sa tak pobavím 😃",0.2583,0.7417,2.0,Negative,0.558,Positive
Ešte neaktualizované na letný čas 😁,0.485,0.515,2.0,Neutral,0.45,Negative
Lego- policajnú stanicu pre mojho vnucika❤️❤️❤️👶👶👶,0.3812,0.6188,2.0,Negative,1.344,Positive
"Hedviga Kiseľová no jasne, dakujem💚",0.5442,0.4558,3.0,Neutral,0.659,Positive
Klaudia Pašková  presne o to mi ide ☺️👌,0.8538,0.1462,3.0,Positive,0.564,Negative
"Daroval by so synovi, aby mal do práce. ..😆",0.4712,0.5288,2.0,Neutral,0.412,Negative
A je to tu 😀😀😀 môže za to kiska.. Este radicovu spomenúť 😀😀😀,0.5268,0.4732,3.0,Neutral,3.432,Positive
Balíček B - 🔝🎁💙🍾 - like a súťažím parádna výhra a like stránce  Lidl Slovensko,0.4822,0.5178,2.0,Neutral,1.978,Positive
Ja a rea Rea Mušková milujeme horalky 😋❤️,0.5266,0.4734,3.0,Neutral,0.634,Positive
Neviem o čom je článok ale ten týpek má bohovske tričko 😄,0.4553,0.5447,2.0,Neutral,0.422,Positive
"Dobrý večer. Viem, že Paulus je šikovný, ale aby urobil 45 porcií za 4 minúty to je iná kapacita 😅",0.5656,0.4344,3.0,Positive,0.18,Negative
Dala by som ju synovi do skoly😊,0.4545,0.5455,2.0,Neutral,0.645,Negative
Ale 30 eur na nákup je 30 eur 😘😍😂😂,0.6281,0.3719,3.0,Positive,1.822,Negative
"Slovac, lopaty do ruky a pokantrit to 😒",0.5566,0.4434,3.0,Positive,-0.375,Negative
Ze debili(to sa teba tyka) nechapu 😉,0.5623,0.4377,3.0,Positive,0.464,Negative
Že som ten cudlik ešte nanasiel? 😉,0.4432,0.5568,2.0,Negative,0.464,Neutral
