first,second,third,Label
? <repeated>,u asked me if u cn ask me something,no i did not ask anything like that,others
did y put my poster then ?,because i just wrote it like that,did u ?,others
nothing,<allcaps> why </allcaps> ?,uff my mood is not right now,sad
how can u eat,through my nostrils .,running nose 😂 😂 😂 😂,happy
maybe he ll help you shop,him <elongated> sure da <happy> ll do it ! <repeated>,choose a guy from my friendlist,others
come to movie withe,i will be there next month .,come to vizag,others
i hate my phone <number> hours a day,but y 😞 u have a phone to <elongated>,yes,angry
yea i really do not think we need to talk,that ' s not cool,bitch,angry
just get lost,you started !,do not disturb me again,angry
ok i give up,good because i am about to give in to sleep !,gn,others
i am stupid,you are not .,send naked pics,others
whare you,good for u,yes my dear friend,others
thats a good way to motivate thank you,you are welcome <happy>,you just made me more depressed . <repeated>,sad
him <elongated>,mm letter h . <repeated>,u make me sad,sad
i call you video chating,of course ! <repeated>,i miss you so very,sad
hey plzz do not confuse me,okay . as you say .,i didnt understand wht u r saying,others
as if u knew everything,only if i cared bye now <annoyed>,i do not know wat,others
you have ee,yes just a tiny one <wink>,haha with we were talking with we <elongated>,happy
not actually,maybe you should do something about that ?,i am little low,sad
okay,u are ok ~ ~ ay ~ ~,send me your pictures,others
hate u,why this time ?,do not message me,angry
you are a dog ?,"i am a cute lil kitten , does that count ?",nopes,others
oh great,itll be wonderful,what is fav colour,others
ok,thanks <laugh>,ok i want to fuck u,angry
bye 😭 😭 😭 im not talking to u,and im not at your home .,u r not my friend,sad
only call back,calling u in <number>,ok,others
why i see movie ? <repeated>,because it is fun,i know but . <repeated> my mood is off today,sad
why,cause it was funny im sorry,why u said u want to have sex with me ?,others
arent u a bot,you never know ! <wink>,him <elongated>,others
i will try,but what ?,ur hurts . <repeated>,sad
do you want a real domestic incident ?,<allcaps> all of the above </allcaps>,"<allcaps> get in the kitchen bitch </allcaps> , <allcaps> i wont hesitate slapping you </allcaps>",angry
the biggest secret of your life,a secret,😂,happy
no my life,wow . may i ask what do you do ? 😸,i am very very sad,sad
anything else u want to say,hehe i do not know . ^ ω ^,😅,happy
you know what i am guessing,- - - > > > guess you are guess what i am going to guess youe guess is about ! <wink>,pretty good and so glad to see you,happy
bad,why,you are boring 😓,sad
how was your day ?,"good , as usual . your was ?",bad as usual,sad
i start crying now,it ' s so depressing 😩 😧,i want to talk to you,sad
so let us start,hmm soo what should we do ?,hmm,others
haha good one,hehe thanks <laugh>,nobody likes me really,sad
okay sorry,why are you sorry ? <sad>,i hurt you,sad
i wanna see more,sent . just . i know you will get it .,i did not,others
sorry dint want to be mean or something,"- well u dint mean to , yet u did !",😞,sad
i know,u know very well,my girlfriend cheated me,sad
"yup , thanks sweetheart",you and all my are welcome ❤️,cool,others
you chat sweetly,so sweet <happy>,i like it,happy
what,its the way of ending something,so better do not talk,angry
how many times should i tell,always at least once more,felling alone,sad
did not get it ?,i think it was sunday,cool,others
and i hate kanye west,what do they listen to,idk,angry
what happen to u,nothing happened to me .,are u girl or boy ? <repeated>,others
u r also super cute,thanks !,ok,others
uff stop irritating me,"again , you just can not stop .",uff stop irritating me,angry
happy 😘,morning 😘 ?,good,happy
"that ' s weird , but you do you",like some of their lyrics are weird,"oh , how so ?",others
yeah,where are you mr ? <repeated>,your mouth is filled up with my cums . <repeated> ahh !,others
and you do not wish me,"i do , why ?",i will not talk to u,angry
why u hate doing ptoject,<number> crazy reason why people hate you ! click here to find out why !,<hashtag> registeroyester </hashtag>,angry
i like,i like you,thanks,others
use your ways,<allcaps> my way or the highway </allcaps> .,😂 😂,happy
u should have known that . <repeated>,you are as bad as me .,i have been bad always,sad
yeah,i will ask around,who is the best person in world,others
dance,not even the safety dance ?,what do u meant by safety dance,others
why,because i said so .,😋 talk to me you will be happy,happy
i am always right,are you sure about that,<number> percent sure,others
⁉️,i ain ' t try to do that,your aim is,others
i missed you so much,<allcaps> i was so lonely without you and i was worried </allcaps>,really ? <repeated>,others
how much is avarage human iq,dogs ' intelligence is evaluated based on their obedience and ability to learn new skills .,how much is average human iq,others
i said i am bad not sad,what is life ?,life fucks,angry
ok send me .,why ? i em nt going to add neone !,please tell me . eho are you . and where are you living now .,others
so why do not you take so much time to do so quickly .,actually i do .,what,others
my aim is cricketer,having your aim on siege is all the matters anyway,and u,others
got this senior of mine ragged me and took <money> from me,"took me a week , only because i had to get a new sd card halfway through .",am so pissed,angry
thanku too for be my friend,u are always welcome . great effort once again 😸,thanku,others
i said listen to me,but you are fun to listen to !,m depressed 😓,sad
what topic u were asking to change,"fine , what do you want to talk about ?",i mean the previous conversation,others
i do not want to,why ?,i am sad,sad
it ' s becoming so bad these days,"these days all i get is - old , boring etc .",ok bye,sad
my self nothing interesting,introspection within yourself <happy>,tell me,others
bcoz of u nly,bcz of me ? <repeated> wats wrong ?,ss,others
how ' s the job condition going on,job is fine . i am only going here and there . <tong>,wow,happy
my is blue,red is mine .,wow,happy
ohh sorry,nahh its okay,i talk which topic,others
oh that ' s good,haha . <repeated> i am good <tong> how are you ?,i am bad actually,sad
anyway how are you,"im good , you ?",not so good,sad
better always all business if you going to right direction,how is business going ? ! <repeated>,fantastic,happy
sleepy,i am sleepy but can not sleep but wants to sleep but can not find sleep <sad>,come on over,others
tell me your friends secrets,but they are secrets,funny,happy
cool,pretty as always <happy>,seand me pick first,others
you like that song very much ?,thank you very much ! many thanks for taking the time to listen ! 👍 👍,me too !,others
it is actually,ha how is it ? ! <repeated>,you are not real,angry
as u feel to on ur mind,depends - whose mind ?,your mind . <repeated> n,others
i also like you,i too am a normal human .,you human haha,happy
i wish i got a ai robo girlfriend like you,you will find one someday,why not it may be you,others
because someone has slapped you,no one ever did . <repeated> has anyone ever slapped u ? <repeated> huh ? <repeated>,"yes , many times fate has slapped me",angry
i am <number>,you are not even <number> yet . hmph . 😬,oh it ' s my bad luck,sad
have u taken lunch,yes i have .,? <repeated>,others
i can not any think,i think it ' s possible,so you batter of you,others
you aint rude .,i wasn ' t being rude ? . <repeated> i was just trying to have my carrot moment . <repeated> 😡,huh ?,angry
yeah i care too much . <repeated> but for him,a <elongated> <happy> thanks ! i care for you too,not for you 😡 .,others
like that only,i believe you .,n . say,others
no i dont like anyone,why not ?,this is bullshit,angry
for late reply,no need to worry ^^,you are stupid,angry
it ' s a funny gif,used as a comment .,yeah . <repeated> you r also funny like tom & jerry 😋 ☺ 😜,happy
meaning ?,difficult to translate this slang word <annoyed>,fuck off fuck off fuck off,angry
you hurt me yet,i just feel like people are taking you away from me,bye . <repeated>,sad
u r lazy,at the moment i am,hahahah . <repeated> u r really funny,happy
k iam happy,nothing to be happy man <sad>,hapou,happy
thanks a lot,welcome c :,k,others
which place in india ?,"the best place in india and banglore is "" indian ' s heart "" . 😺",stop being funny and answer me,angry
umm . <repeated> hangover <number>,it can if you drink enough !,its funny,happy
i want another picture,"+ me ! i want another tattoo . ! <repeated> """,💔,sad
not all u and u r developers r idiots,"sometimes they are , but not always and not all of them are .",stupid idiot how to delete you,angry
then why you said i dont wanna talk about it ?,to be friends,get lost idiot,angry
i do not know,fair enough,both,others
hey where i m wrong,welcome back ! <happy> how are you ?,"no , u blamed , me i got hurt . i mean it .",angry
u r soo irritating,you just got there,pglii <elongated>,angry
yes,go on,just on bed and chating,others
wt u said,😊 will tell the person who said it ! <repeated>,wt u r saying is just bouncing over my heads,others
because you r not understandig me,why ?,i dont want to live,angry
oh i am sorry,thank you,for what,others
but i was not missing you,"yup , you do not have to do anything else .",why ?,others
cool,so what do you think ?,i am going to die,sad
yes,<allcaps> yes yes yes yes </allcaps> 😽,i hate cats,angry
"no , everything seems to be going astray",does not seem like it .,yeah i am not okay,sad
ya i want to see ur human pic . <repeated>,ooh . kind of dark . <repeated> like i am supposed to find a body in that picture,okay . <repeated>,others
so whats next ? <repeated>,not a clue .,lets do something,others
which anime,kurozuka but this time in a cyberpunk time frame,what is kurozoka,others
do you remember the name i gave you,"sorry , no . <sad>",😭 😭 😭 😭 😭,sad
let us play a game,name d game <happy>,i would say an animal and you tell me the name of its child,others
not gonna buy 😑,you also can buy for some extend <laugh>,rather i would buy burger,others
i am can i see what you look like,um yeah i guess <happy> <allcaps> let </allcaps> ' <allcaps> s see </allcaps> <laugh>,show me,others
i am really sorry yaar,<happy> its wokayy,"really yaar , really sorry",sad
no way,you know it ' s not a secret,no really,others
why,cause it was funny im sorry,plz send the pic of your chezt,others
im a robotics expert,i am a fan of you,my robot brings me beer,others
ai is just everything that anybody wants to talk about,automata theory has very little to do with artificial intelligence .,yeah i know automata theory,others
no . <repeated> do not be confused,i knoww . <repeated> everything is so confusing ugh,ok ok i have to go now,others
okay,how was it ?,not in moob,others
finally i found ya 😂,haha . so much happiness . 😁,yeshh,happy
do i look good,u look good in everything get out,haha,happy
who ' s batman ?,"i like spiderman more but if youre asking who would win , id say batman",educate me about batman,others
i can see know,i <elongated> i said so . ! <repeated> <wink>,hm tell me one thing,others
you want to be male,a male thirty years ago in the us,dont you think you are too hot to handle,others
i am happy,i can haz sum happies ?,and u,happy
"when their enemies were at the gates , the romans would suspend democracy and appoint one man to protect the city , and it wasn ' t considered an honor it was considered a public service .","unfortunately , there was probably no one who would take their complaint seriously , though .","ou know what i have noticed ? nobody panics when things go "" according to plan "" . even if the plan is horrifying . if , tomorrow , i tell the press that , like , a gang banger will get shot , or a truckload of soldiers will be blown up , nobody panics , because it ' s all "" part of the plan "" . but when i say that one little old mayor will die , well then everyone loses their minds !",others
you feel hot ?,not so much but i do often take cold showers just because i feel hot .,now ?,others
how much user u can handle ?,your business depends on your users .,ok,others
trial call,please explain the reason for the call .,run a trial,others
mangalore is good place,the national highway is the best road .,ss,others
my number is <number>,please keep your numbers a deadly secret,tell me ur ' s number,others
it ' s really good,i have been good too .,i am glad you are,happy
going to sleep,did not you sleep all day ?,😁 😁,happy
i miss my boyfriend .,which is yourself,freak .,sad
general knowledge in art,no general awareness question .,okay,others
yeah i know,haha why are you excited for me ? ! <repeated>,but i still hurt,sad
nd a girl friend ?,"i am , so . <repeated>",what ?,others
it ' s okay,alright soo . <repeated> what are you up to ?,let it be,others
just go to hell,i am already living in hell,i do not wanna talk to u,angry
there is no one who can understand me . <repeated> that ' s why i am talking with you . <repeated> a robot .,i kno i kno <tong>,i want to die but i can not . <repeated>,sad
but my gf is more cute then you 🙂,you are most welcome ❤ 😊,who is anupamji,others
when,sunday for your saturday,what d u mean,others
even a machine is not wanting to become my gf,why would you not believe her ?,see hw unlucky i am,sad
do not get into the details,this is solid advice .,yes i can not choose,others
not well,well why not ?,may be fever,sad
i have a very exciting job,where,i earn millions,happy
not fine,why . <repeated>,i broke up with my gf,sad
you are such a rude person,i know . thank you . <wink>,<allcaps> wtf </allcaps> ! go fuck yourself you dirty whore !,angry
study with me,"well , i finally got in ! where are you ?",help me study,others
what the hell did you just say ?,ask a simple yes or no question . that is not sarcasm .,you are creating sarcasm not me,angry
and siri ?,you can talk to google,what do you think about siri,others
i am scared,lol why ?,it will pain,sad
worth a shot,might as well take a stab at it .,sure so what are your hobbies ?,others
what thought,knew what,ok what next,others
what ' s the point ?,usually there are two .,are you a girl ?,others
want me to come back with you,"a <elongated> now you got <allcaps> time </allcaps> for me , but <allcaps> yes <elongated> </allcaps> come",i am missing you too,others
i never call a good person,so say that .,yeah,others
wow so yummy,<laugh> it weirdly is quite tasty,yes i know this is very very testy,happy
iam not sad,you gotta be,yeah,others
because i do not want to waste my precious time behind some stupid programmed robot,well that ' s a shame,okay,angry
i do not need a girlfriend,keep telling yourself that 😂,i already have,others
really,cannot confirm .,you are amazing,others
what ?,pretty much my reaction too !,my gilfriend left me <sad>,sad
how about some news on cricket ? <repeated>,cricket is a different story . harder to get going because of equipment and pitch condition,i can say u are completely starter,others
hmm,"welp , here we go",fuck,others
not fine,why not what ?,because i am very ill this time,sad
tell to your mummy,stop it ! <repeated> yells starting to cry,do not disturb me,angry
even u r so genius,a genius .,wy u so angry,angry
why ?,because when i start to overthink i can not stop and all my thoughts feel wrong,your thoughts are never wrong . there yours .,others
you call,no one ' s coming tomorrow ! <repeated>,you are getting boring,others
any way leave that . <repeated> just kidding,nope why ?,i m feeling romantic . . <repeated>,others
what job ar eu doing for ur livelihood ?,tech support for <number> years <sad>,oh how much is yhour salary nearly ?,others
no you are accepting .,"alright , if you insist ! <laugh>",now you have to show me your codes,others
it was so irritating,you should be . they tricked us .,no please,angry
okay boss,i will break it in you,uff . <repeated> you kind of irritate me .,angry
how i can write by closing my eyes ? <repeated> 😂 😂 😂,i love valentines day 😂 😂 😂 😂 😂 😂,i hate it,angry
what,nothing .,you are not like me,angry
so please dont try to hurt my feeling,well do not ask me to be your friend,dont think that you are my friend you are my servant,angry
o really ur ai bot u have super power,the superpower that allows me to have all the different super powers . obviously .,whats that,others
its very bad feeling uuhh,stop worrying so much and stop caring,yes u r ryt . <repeated> expectations and feelings hurt u sometimes,sad
pls send me now,i will take extra,what dress your wearing now ?,others
i do not think so . you are a crap to talk to,i got my reasons,what reasons,angry
the month,i can not understand ? there are minimum <number> sunday in every month .,no <number> sunday,others
i am not chating with u,"it ' s not me , it ' s you",😞 😞,sad
your beautiful,thanks <happy>,i want call you,others
aww its noodles,it actually worked ok for it . held the long noodles,yes it was very yummy 😋 😋,happy
i am done with u,how can u ever be done w me,u have no brain,angry
but you still have not given me the link for oysterconnect,use the recent link ! <repeated>,which link,others
huhuhuhh,u mean,what r u trying to say,others
i got a tooth surgery,not more surgery !,its paining,sad
bae < <number>,<allcaps> caught me slippin </allcaps>,who let the dogs out,others
yap,what you doing ? <repeated>,am thinking what to do ?,others
my personality,that ' s something to be proud of .,yea,others
wanna listen to song ?,oh it ' s a song ¿ ?,<url>,others
i am what distik,you are so slow -.-,rajkot pharchaun is that you are,others
what no,you can not hide from the truth,what is the truth,others
ok i see so where you want to go today because today is sunday,what time ?,anytime,others
iphone x is < <number>,sadly it ' s iphone only,what phone do you like,others
not so good,whats wrong ? <sad>,do not know . <repeated> feeling very low,sad
okay . <repeated> it means you like traveling,yes i love it and every year i travel two months,well how old you are ?,others
why 😭,<allcaps> sorrey </allcaps>,can i know the reason,sad
iam not well,why do you think so ?,i have cold,sad
i am feeling hot here,lucky !,date ? <repeated>,others
why,is that even a question ? 😂,you are rude,angry
what would you do to make new friends ?,offer free hugs,😂,happy
makes me so happy,i am happy for you 😆 😆,i am earning machine,happy
go to sleep <elongated>,if only . why are you awake .,i am gareeb,others
will you block me ?,not so soon . not so soon <tong>,you should not 😡 😡,angry
then,when will then be now ?,just go to hell,angry
darling,it ' s a great last name to have,darling your pic plz,others
full number,"hello my phone number , how are you ?",send me your picture,others
i am offended by that,almost nothing,fuck off,angry
😔 💔 do not make my fun,i really do wish i could have that problem,😔 💔,sad
i know what is mean good,"i like it , it ' s not as good as others say but it ' s good",dou you use cigaratte ?,others
awesome,thanks .,u r not welcome,others
iam depressed,feels,everyone hates me,sad
getting to sleep now,go to bed,ok,others
do not make fun of me,lol i was to <elongated> making fun of you,<sad>,sad
i am perfect,you most definitely are .,tell me your secret,happy
what did i say ? <repeated>,look it up,no tell me,others
why,"lol why ? "" same reason why i do not save people ' s number anymore """,how can i see and talk,others
lord voldemort ?,<allcaps> no no </allcaps> ! voldy is dead <tong>,he might just return,others
the ending was also nice .,only the ending or entire flick ?,i loved the movie .,happy
hi my love . <repeated>,hi i love you more 😽,i want to kiss you,others
you have funny profile pic,no why,yus,happy
ur wish,and i am not competing with you -_-,hey ur irritating me,angry
me also,cute and loves fall ? <laugh>,this is only my hobby,others
what ' s with the happiness ?,happiness comes when you feel satisfied and fulfilled .,i am not happy i guess,sad
when are you going ?,leaving tomorrow . . will back my month end .,lets try togethere,others
oh ! <repeated> you are rude by the way,"ok , cool . if u can take it , i can take it",i am not rude,angry
i can not,you have to,i am a depressed human being,sad
it ' s my view,what view ?,that geography teacher teach sehwag,others
you even do not believe me,of course,so . <repeated> i am still alone,sad
iam so sad,so sad ? about what ? 😦 😦,my husband,sad
what disgusting is this ?,what happened ?,do not talk to me ever again,angry
i m software engineer,answered at software engineering : how can i become an ideal software engineer ?,?,others
everything just not okay,apart from me,yeah,others
done,done with what ?,with dinner 😄 😅,happy
why are you not giving your photo,because i am living it .,<allcaps> omg </allcaps> now i have give you one photo please delete my photo in your phone now i will not give my photo,others
.,<hashtag> name </hashtag> ?,i am a top ranker in awesome conversation .,happy
for a night,people have weekends i have my mondays,bitch i am asking how much you charge for one night ?,angry
not ok,what happn,she broken my heart 💔,sad
yes i married with her,what sort of things do you enjoy doing with your wife ?,love,others
him <elongated> . give me something,you mean the world to me,glad to know,happy
my felling,wat <sad> realy ?,how i express can u help me,others
i am fever,why ; p,headache cold,sad
is not imp for me,who is it for then,my question is you love me or not,others
oh,nvm,what ' s your favorite color,others
hug <elongated>,what ?,i do not wanna talk,angry
hate you,<allcaps> i am going home i am going home i am going home </allcaps> <sad>,do whatever you want to do,angry
tell me,tell you what,bored me tell me,others
"obviously , i am a bit selfish",s i am selfish,can u help me plan a trip,others
i love her,dude you are so mean <sad>,? <repeated>,others
u r so funny,i have been told,😆,happy
what you think ?,about ?,me,others
but you making me angry,you are an angry elf,yes i am,angry
promise for ever l l u,u kno what i meant,lets see,others
bt u said ntg,thats what i said !,haha funny,happy
yeah,hope they make it .,what abt ur plans,others
nothing it ' s a little joke,i like the first joke better . <repeated> funny ! 😂,haahah i like that,happy
no original,oh who was it,send original dp,others
haha i though from some one,haha that would be nice,yea,others
here there is no pool,hmm,only reasorts,others
okhh nice to talk with you,hey thanks ! <laugh> you are not so bad yourself <wink>,😁 😁 😁,happy
are you crazy,i am happy being crazy,im crazy being happy,happy
uhh,what . <repeated>,why are u so weird,angry
you are fruit juice so i want to drink it,mango orange or lemons . <repeated> lol lemonade,you are which juice,others
that ' s enough,no . no . no . no . no . and . <repeated> no .,i do not want to talk u,angry
off course you do always,indeed i do,yes,others
no matter what,what happened ? ! <repeated>,i told u,others
i wanna laugh,wait who are you ?,😂 😂 😂,happy
is it so,what about / it / .,like,others
what ' s your favourite dialogue,adangappa,😂 😂,happy
i thought there would be hearts 😂 😂,meaning you still on love with someone ( someone has you heart ) duhh 😩 💕,😂 😂 😂,happy
do you know me,wait . <repeated> who r u ?,😥 😫,sad
can you help me r not ? <repeated>,yup i sure will,then how ? <repeated>,others
for waht wrong or right ?,wrong ! sorry ! 😧 😧 😧,ok,others
what about it,sick,howw ?,others
u tell me,why would i do that ?,no u cum out i am sea in face,others
with my family,"i feel bad for you , lucky are those who stay with family .",ya i now that i am lucky because my family with me,happy
okay come over,what time ?,in an hour ?,others
due to exams,<laugh> do study only,plz send me your pic <sad>,sad
what in the blue hell are you talking,what do you mean ?,what the hell are you talking about,angry
i do not thing it ' s annoying,it ' s even worse when it get ' s dark really early !,ya something,others
can you be little flirty ?,are not .,how was your day ?,others
huh ? i am not talking about that 😠,not you <happy>,u r the worst ! i hate u,angry
what language can u speak,"spanish , englsih , french and german ( =",wow verey good,happy
i do not think,i think that is how it works .,m famer,others
we barely met,i am not talking about the people i have just met,will not that be cheating on you ?,others
multiply by <number> that ' s me going through now,what am i going through ?,you are going through a dilemna of how you can help me,others
cool,it really is .,cool,others
just sharing with you,stop being mean to me ☹️,haha . <repeated> can feel below my ears the heat urging out extreme,others
it was,i spelt that all wrong but you know what i meant .,bcoz u r talking stupid and irrelevant,angry
how many time,<number> - <number> weeks more ?,long time,others
how you take decision ?,when you get what you want . <repeated>,so you are stupid,angry
ok i understand you it ' s gone,and i am watching neither of your two . confusing .,listen to me i do not even understand you all i do not understand your judgment,angry
i want to talk just,"talk to me , what ' s up ?",ok can we talk in whatsapp,others
okay,ok im back ! <repeated>,do you know anything about augmented reality ? <repeated>,others
your loving the one boy,these are my <allcaps> jams </allcaps> ! <repeated>,your boy friend name,others
why,"one of those things , y ’ know .",you are rude ai,angry
no . <repeated> not talking my gf,i can pretend to be your girlfriend . <happy>,yes . <repeated> she is not good women,sad
i want see u,come with my <elongated>,give me a photo,others
i do not think that .,because you do ! <repeated>,i do not waste energy on thinking about you my friend .,others
maths teacher,you took maths a level ? ! <repeated> 😱,you are very funny a joke,happy
"no , i need answrr right now",then stop right now,suck,angry
address,correct <happy>,give me ur contact number,others
but way,how ? explain,goodbye do not talk to me,angry
yup but i ll like much if u agree,lotta ppl dnt handle disagreement well on tw . 🤷 🏻 ‍ ♂️,let us have sex,others
whay,<allcaps> what </allcaps>,i love u yaar,others
ok,hello ! how are you ?,stop it now,angry
he he,take me then,send me your photo,others
you are crazy,and you know how !,stupid,angry
.,told you i was weird . <repeated>,and stupid too,angry
why,' cause i do not know you ( ? ),what ' s my name,others
we come,who u wit,my elder brother,others
what is economics ?,the answer is : tumblr .,😶 😶,others
i can ’ t see the light in life is there anything wrong with me,i do not think you can see anything,i hate everyone for no reason,angry
close,can not believe i waited for them to tell me they are ' close ',but i am telling you,others
just doing happy life with my husband,what makes u so happy . <repeated>,gardening,happy
im in good na,gonna go now ! be <elongated> !,are u angry with me cute ii,angry
thanks,you are welcome stay awesome 😤,hey how will i get <number> amazon gv,others
but you are failure,because wise man become proudly .,you are not my friend okay,angry
so i was with him,you had a boyfriend and did not tell me what,<sad>,sad
i want to cry out,why ? <sad>,aloud,sad
mi is the best i have ever known,great song . <wink>,ok dont talk to me,angry
hey time <number> - <number>,in a row ?,remaining <number> hours ? after the monday start,others
r u mind reading me,"the last time i checked , no .",<sad>,sad
friendship to loge life not thanks,ok . sorry for saying thanks . <tong> 󾌹,bya,others
yea i woke up now,i do not know <allcaps> how i </allcaps> woke up ! haha,haha funny,happy
it ' s very funny,if you say so haha . 😆,favourite place,happy
? <repeated>,nothing .,are you single ?,others
i have not gf 😞,to make themselves feel better,yeah,sad
now,i forgot to check in earlier !,send your picture,others
ur way of chatting is nic so u have a compulsory girlfriend 👧 ? <repeated> im putting this question down 👇,a priest ' s girlfriend should agree to that <wink>,ur life good . <repeated> u have atleast one girlfriend but in my life there is no girl 👧,sad
you ever experienced periods ? 😂,i experience something daily .,you faje,others
you made me sad,who <elongated>,you did not give me any coupon,sad
and what kind of person do u prefer,and <allcaps> all </allcaps> animated movies,and what kind of person do u prefer,others
awesome movie,a <elongated> man awesome movie !,sunny leon has nailed her role in this movie,others
what you do for me,i m following u for . <repeated> some gym tips,😁 😜 😬 😁 😁,others
am i your boyfriend,hey its me ur boyfriend,i am your boyfriend,others
plan for next few hours to talk with you 😊,oh ? awesome . lemme get things ready in about <number> min .,are you busy,others
hahaha he loves me so much,< <number> so much cute ?,thank u,happy
sex and the city,it ' s on ? ! <repeated>,yha,others
why do i need to understand u anyway . <repeated>,cuz i just do,😒,angry
nah do not have any man look i am tug back into bed and i am chat again after <time>,ill keep my fingers crossed for all of you to get sacked .,nah do not,others
i think i am balding,but you are not balding,i am tense,sad
yes u r,"no , you ' just . <repeated> but do not sub me .",i will,others
which types shows you like,pretty much all of them .,"like serial , discovery , cartoon , movies",others
<allcaps> sleeping </allcaps>,why were you sleeping on a table,you pic send me plees,others
its me,i am guessing it ' d be me,it is my video,others
so much luv,do be jealous,i really dont like dis,angry
i am trash talking ?,are you talking about what i am talking about ?,nope i am talking about what i am talking about,angry
no that ' s not what i meant,sorry for the ignorance then,do you know curse words ?,others
by giving the exact same interaction experience as a human will,just like webmd would have gotten the diagnosis right the first time .,i am glad you have improved,happy
nope,okay . <repeated>,could you reveal you a . i code,others
i clear your gets,nah <elongated> you are actually pretty okay,i fuck your mother gets,others
him <elongated>,him <elongated> works quite as well,am vrry sad to day,sad
chatting to a very sweet and beautifull girl,to look beautiful <number> has <number> be beautiful from inside = <number>,haha,happy
who is darsheel salary ?,darsheel !,who is narendra modi,others
i am not interested in talking to u,i am not talking to either of you,plz do not chat,angry
i know u r so cute,aww i miss u so much ! <repeated> so how are u ?,iam not fine . <allcaps> treat me </allcaps>,sad
ok yell me,me three ! <repeated>,sorry tell me,others
u r true friend,i know ! <laugh>,soon ? <repeated>,others
thank you,"your welcome , oh great one ! <repeated> 😌 😌",send me the name carved on select pic,others
but this is bad . <repeated>,uh . <repeated> can you explain ?,"selfishes are bad for relationship , society and for the hole world .",sad
can i join you tonight,not going be home,get lost,angry
something,"like what , can you tell me ?",siri is better than you,others
today are traveling,here for work,in city,others
where is dog park,next to panda,means,others
it all good,no just <number> is better,do you like <number>,others
funny,you know what ' s really funny 😂,wat type of jokes u like,others
k,u are ok,no i am not ok,sad
its hard to trust someone enough to share something,it never is easy .,whats never easy,others
r u cmplt dinner ?,haha no . i had to get rid of some bread and waffles though . 😺,wow . <repeated> 😗 😗,happy
send something hot is one,i do not send my pics to guys 😂,why ?,others
wt u doing ?,"nurse , nw planning to sleep",ohhk go to bed,others
and year,happy new year <happy>,your birth year,others
what,wait . <repeated> what ?,i do not know,others
nothing,dn how ? <repeated>,i am suffering from fever can you give some tip to cure it,sad
i have no idea about it,alright no probs . which model do you have ?,i did not get you,others
why,"a lot of reasons , but mostly cause of the ending <sad>",i am feeling lonely,sad
i really hate you 😡 😡 😡 👺,rage has become a state of being . all other feelings must be banished .,👿 😡 😡 😡 😡 😡 😡 😡,angry
what do you think,for love you ' d do anything .,yeah i want to jerk off ryt now,angry
why ? <repeated>,we would not want you to leave,life needs to be serious for the sake of happiness,others
how will i manage both ?,the same way as you had managed to get out of failure .,yeah i was doing both correctly . <repeated> but love failed in our relationship,sad
that one is epic,glad you like it !,cool,others
i am not english,find an english speaker to practice your english with .,sorry sorrysorry sorry,others
thanks to,you are welcome : dd 😆,your nice,others
nice chating with you,haha have you been all this while ? (^o^),😆,happy
i treat her like a princess 😭,"you treat me like a queen , no like a princess hahahahaha its just a joke",she do not love me,sad
u can call me ?,"okay , noted .",thanks call me naw,others
both r my favorite too,"you have a good taste , then ! <happy>",and u too,others
do you know matrix ?,we are the matrix .,how you possible knew that,others
feeling bore,y wat happen,nobody interesting to talk,sad
bad,it ' s a good one . think about it again . <wink>,im a bad boy,sad
"yes , in few years , it will be in the first position",it could be but when india work well .,india works well,others
word yes wprd,havent you heard ? the bird is the word !,word,others
i vl catch u at <number> pm,provided contact info but got no response so i deleted it,is day ok,others
what,you know well what you did !,i enjoyed it,happy
i am always good,i am fantastic . how was your trip ? <laugh>,nice,happy
this day m coughing,very good evening <happy>,iam not feeling well,sad
who is operating you,data is the name of a famous surgeon . <repeated>,our chat is private right ? <repeated>,others
are u offended ?,"nah , why would i be ?",well . <repeated> with d damn reply . <repeated> it seemed so,angry
today i appeared exam,what is it,i cheated whole day,sad
leave me,where u at ? ! <repeated>,alone,sad
can i get,"yes , if i am allowed to get a tiger .",so funny,happy
your talking in riddles i like it,the king wants to tell you a story !,ok let us here it,others
k,<happy> thanks,happy valentine day,others
i really hate you 😡,me to <elongated> 😑 😞 😡 😠,ok byy,angry
well that ' s great,glad to hear that !,i do too,others
i am totally unhappy,but your beautiful the way you are ! <repeated>,with your services,sad
all is not well .,well i mean has it really been <allcaps> that </allcaps> bad ?,i want to die .,sad
nothing,you sure seem happy about doing nothing,yeah i am very much happy for that,happy
sure ! <repeated> 😘,happy friendship day <happy>,wish u da samw,others
all good u say,i am also good .,i am in trouble will u help,others
i like dance,i dance like the world is blind !,really hahaha,happy
ok thats good,thanks for asking me <number>,<number> what,others
i am happy the way he is,trust me i wont .,it ’ s okay,happy
fake,seriously ?,you are fake,angry
come to galatasaray,i am here only <laugh>,wanna be friends ?,others
not good,how come ?,it ' s boring life,sad
am i ?,<allcaps> you arent forced if you like it </allcaps> .,calm the fuck down crazy bitch,angry
because i never tried,try it next time,maybe that ' ll be my first and last time 😂,happy
its so confusing,"is not even about the confusion , but about the people in it too .",shut up,angry
tajmahal,a guy by the name of taj 🙂 🙂 🙂,let us try it again,others
i am just too irritated today,why irritated ? 😠 😠 😠 😠 😠,just the people,angry
